"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1)","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"1","India","Non-sentinel","2021-32",2021-08-09,2767,382,2385,NA,34,339,NA,9,NA,NA
"2","India","Non-sentinel","2021-33",2021-08-16,3436,476,2960,NA,31,429,NA,16,NA,NA
"3","India","Non-sentinel","2021-34",2021-08-23,2154,371,1783,NA,21,326,NA,24,NA,NA
"4","India","Non-sentinel","2021-35",2021-08-30,2438,373,2065,NA,18,288,NA,67,NA,NA
"5","India","Non-sentinel","2021-36",2021-09-06,2492,335,2157,NA,4,180,NA,144,NA,7
"6","India","Non-sentinel","2021-37",2021-09-13,1991,233,1758,NA,11,88,NA,117,NA,17
"7","India","Non-sentinel","2021-38",2021-09-20,3088,321,2767,NA,5,96,NA,204,NA,16
"8","India","Non-sentinel","2021-39",2021-09-27,2752,335,2417,NA,3,67,NA,263,NA,2
"9","India","Non-sentinel","2021-40",2021-10-04,2509,255,2254,NA,4,24,NA,208,NA,19
"10","India","Non-sentinel","2021-41",2021-10-11,2005,197,1808,NA,2,19,NA,166,NA,10
"11","India","Non-sentinel","2021-42",2021-10-18,2194,165,2029,NA,NA,6,NA,139,NA,20
"12","India","Non-sentinel","2021-43",2021-10-25,2020,114,1906,NA,NA,4,NA,98,NA,12
"13","India","Non-sentinel","2021-44",2021-11-01,1631,47,1584,NA,NA,1,NA,40,NA,6
"14","India","Non-sentinel","2021-45",2021-11-08,903,14,889,NA,NA,NA,NA,11,NA,3
"15","India","Non-sentinel","2021-46",2021-11-15,1830,28,1802,NA,NA,NA,NA,18,NA,10
"16","India","Non-sentinel","2021-47",2021-11-22,1144,16,1128,NA,1,1,NA,3,NA,11
"17","India","Non-sentinel","2021-48",2021-11-29,987,10,977,NA,1,NA,NA,8,NA,1
"18","India","Non-sentinel","2021-49",2021-12-06,1577,19,1558,NA,3,3,NA,2,NA,11
"19","India","Non-sentinel","2021-50",2021-12-13,837,2,835,NA,NA,NA,NA,2,NA,NA
"20","India","Non-sentinel","2021-51",2021-12-20,2404,4,2400,NA,NA,1,NA,NA,NA,3
"21","India","Non-sentinel","2021-52",2021-12-27,1973,4,1969,NA,NA,3,NA,NA,NA,1
"22","India","Non-sentinel","2022-01",2022-01-03,1704,5,1699,NA,NA,NA,NA,NA,NA,5
"23","India","Non-sentinel","2022-02",2022-01-10,3258,6,3252,NA,NA,NA,NA,3,NA,3
"24","India","Non-sentinel","2022-03",2022-01-17,3155,1,3154,NA,NA,NA,NA,1,NA,NA
"25","India","Non-sentinel","2022-11",2022-03-14,244,52,192,NA,NA,32,NA,20,NA,NA
"26","India","Non-sentinel","2022-12",2022-03-21,174,24,150,NA,NA,13,NA,11,NA,NA
"27","India","Non-sentinel","2022-13",2022-03-28,398,46,352,NA,3,17,NA,26,NA,NA
"28","India","Non-sentinel","2022-14",2022-04-04,167,21,146,NA,NA,3,NA,18,NA,NA
"29","India","Non-sentinel","2022-18",2022-05-02,198,1,197,NA,1,NA,NA,NA,NA,NA
"30","India","Non-sentinel","2022-24",2022-06-13,210,1,209,NA,1,NA,NA,NA,NA,NA
"31","India","Non-sentinel","2022-26",2022-06-27,176,2,174,NA,2,NA,NA,NA,NA,NA
"32","India","Non-sentinel","2022-27",2022-07-04,293,8,285,NA,8,NA,NA,NA,NA,NA
"33","India","Non-sentinel","2022-28",2022-07-11,220,11,209,NA,10,1,NA,NA,NA,NA
"34","India","Non-sentinel","2022-29",2022-07-18,249,48,201,NA,48,NA,NA,NA,NA,NA
"35","India","Non-sentinel","2022-30",2022-07-25,353,57,296,NA,53,4,NA,NA,NA,NA
"36","India","Non-sentinel","2022-31",2022-08-01,312,66,246,NA,64,2,NA,NA,NA,NA
"37","India","Non-sentinel","2022-32",2022-08-08,328,98,230,NA,96,1,NA,NA,NA,1
"38","India","Non-sentinel","2022-33",2022-08-15,293,77,216,NA,72,5,NA,NA,NA,NA
"39","India","Non-sentinel","2022-34",2022-08-22,228,50,178,NA,47,3,NA,NA,NA,NA
"40","India","Non-sentinel","2022-35",2022-08-29,230,43,187,NA,41,2,NA,NA,NA,NA
"41","India","Non-sentinel","2022-36",2022-09-05,178,19,159,NA,17,2,NA,NA,NA,NA
"42","India","Non-sentinel","2022-37",2022-09-12,178,13,165,NA,9,4,NA,NA,NA,NA
"43","India","Non-sentinel","2022-38",2022-09-19,231,18,213,NA,12,6,NA,NA,NA,NA
"44","India","Non-sentinel","2022-39",2022-09-26,224,20,204,NA,13,7,NA,NA,NA,NA
"45","India","Non-sentinel","2022-40",2022-10-03,171,5,166,NA,2,3,NA,NA,NA,NA
"46","India","Non-sentinel","2022-41",2022-10-10,150,6,144,NA,3,3,NA,NA,NA,NA
"47","India","Non-sentinel","2022-42",2022-10-17,152,7,145,NA,NA,7,NA,NA,NA,NA
"48","India","Non-sentinel","2022-43",2022-10-24,135,9,126,NA,2,7,NA,NA,NA,NA
"49","India","Non-sentinel","2022-44",2022-10-31,91,1,90,NA,1,NA,NA,NA,NA,NA
"50","India","Non-sentinel","2022-45",2022-11-07,136,6,130,NA,NA,6,NA,NA,NA,NA
"51","India","Non-sentinel","2022-46",2022-11-14,119,1,118,NA,NA,1,NA,NA,NA,NA
"52","India","Non-sentinel","2022-47",2022-11-21,113,2,111,NA,NA,2,NA,NA,NA,NA
"53","India","Non-sentinel","2022-48",2022-11-28,151,4,147,NA,NA,4,NA,NA,NA,NA
"54","India","Non-sentinel","2022-49",2022-12-05,128,5,123,NA,NA,3,NA,2,NA,NA
"55","India","Non-sentinel","2022-50",2022-12-12,85,2,83,NA,NA,2,NA,NA,NA,NA
"56","India","Non-sentinel","2022-51",2022-12-19,57,5,52,NA,NA,4,NA,1,NA,NA
"57","India","Non-sentinel","2022-52",2022-12-26,109,19,90,NA,NA,18,NA,1,NA,NA
"58","India","Non-sentinel","2023-01",2023-01-02,221,21,200,NA,NA,19,NA,2,NA,NA
"59","India","Non-sentinel","2023-02",2023-01-09,154,18,136,NA,NA,18,NA,NA,NA,NA
"60","India","Non-sentinel","2023-03",2023-01-16,39,2,37,NA,NA,2,NA,NA,NA,NA
"61","India","Non-sentinel","2023-04",2023-01-23,139,14,125,NA,4,10,NA,NA,NA,NA
"62","India","Non-sentinel","2023-05",2023-01-30,130,17,113,NA,NA,17,NA,NA,NA,NA
"63","India","Non-sentinel","2023-06",2023-02-06,135,22,113,NA,NA,21,NA,1,NA,NA
"64","India","Non-sentinel","2023-07",2023-02-13,126,20,106,NA,NA,19,NA,1,NA,NA
"65","India","Non-sentinel","2023-08",2023-02-20,192,50,142,NA,NA,45,NA,5,NA,NA
"66","India","Non-sentinel","2023-09",2023-02-27,147,49,98,NA,NA,40,NA,9,NA,NA
"67","India","Non-sentinel","2023-10",2023-03-06,183,47,136,NA,NA,31,NA,16,NA,NA
"68","India","Non-sentinel","2023-11",2023-03-13,251,54,197,NA,NA,32,NA,22,NA,NA
"69","India","Non-sentinel","2023-12",2023-03-20,180,25,155,NA,1,13,NA,11,NA,NA
"70","India","Non-sentinel","2023-13",2023-03-27,190,32,158,NA,2,11,NA,19,NA,NA
"71","India","Non-sentinel","2023-14",2023-04-03,167,21,146,NA,NA,3,NA,18,NA,NA
"72","India","Non-sentinel","2023-15",2023-04-10,144,16,128,NA,NA,3,NA,13,NA,NA
"73","India","Non-sentinel","2023-16",2023-04-17,148,9,139,NA,NA,1,NA,8,NA,NA
"74","India","Non-sentinel","2023-17",2023-04-24,143,10,133,NA,2,1,NA,7,NA,NA
"75","India","Non-sentinel","2023-18",2023-05-01,123,7,116,NA,1,1,NA,5,NA,NA
"76","India","Non-sentinel","2023-19",2023-05-08,151,12,139,NA,10,NA,NA,2,NA,NA
"77","India","Non-sentinel","2023-20",2023-05-15,155,10,145,NA,5,2,NA,3,NA,NA
"78","India","Non-sentinel","2023-21",2023-05-22,133,11,122,NA,10,NA,NA,1,NA,NA
"79","India","Non-sentinel","2023-22",2023-05-29,155,27,128,NA,24,NA,NA,3,NA,NA
"80","India","Non-sentinel","2023-23",2023-06-05,207,24,183,NA,24,NA,NA,NA,NA,NA
"81","India","Non-sentinel","2023-24",2023-06-12,254,36,218,NA,31,3,NA,2,NA,NA
"82","India","Non-sentinel","2023-25",2023-06-19,61,3,58,NA,NA,NA,NA,3,NA,NA
"83","India","Non-sentinel","2023-26",2023-06-26,165,36,129,NA,33,2,NA,NA,NA,1
"84","India","Non-sentinel","2023-27",2023-07-03,202,32,170,NA,28,NA,NA,4,NA,NA
"85","India","Non-sentinel","2023-28",2023-07-10,143,21,122,NA,19,NA,NA,1,NA,1
"86","India","Non-sentinel","2023-29",2023-07-17,167,17,150,NA,14,NA,NA,3,NA,NA
"87","India","Non-sentinel","2023-30",2023-07-24,38,4,34,NA,NA,2,NA,2,NA,NA
"88","India","Non-sentinel","2023-31",2023-07-31,52,12,40,NA,NA,7,NA,5,NA,NA
"89","India","Non-sentinel","2023-32",2023-08-07,123,27,96,NA,12,10,NA,4,NA,1
"90","India","Non-sentinel","2023-33",2023-08-14,131,23,108,NA,8,5,NA,9,NA,1
"91","India","Non-sentinel","2023-34",2023-08-21,145,38,107,NA,10,16,NA,12,NA,NA
"92","India","Non-sentinel","2023-35",2023-08-28,174,41,133,NA,6,21,NA,13,NA,1
"93","India","Non-sentinel","2023-36",2023-09-04,162,44,118,NA,8,14,NA,22,NA,NA
"94","India","Non-sentinel","2023-38",2023-09-18,199,53,146,NA,15,23,NA,15,NA,NA
"95","India","Non-sentinel","2023-39",2023-09-25,169,45,124,NA,7,13,NA,22,NA,3
"96","India","Non-sentinel","2023-40",2023-10-02,158,49,109,NA,13,19,NA,14,NA,3
"97","India","Non-sentinel","2023-41",2023-10-09,150,46,104,NA,12,17,NA,15,NA,2
"98","India","Non-sentinel","2023-42",2023-10-16,155,43,112,NA,17,11,NA,13,NA,2
"99","India","Non-sentinel","2023-43",2023-10-23,139,23,116,NA,11,4,NA,4,NA,4
"100","India","Non-sentinel","2023-44",2023-10-30,147,32,115,NA,14,11,NA,5,NA,2
"101","India","Non-sentinel","2023-45",2023-11-06,104,18,86,NA,12,3,NA,3,NA,NA
"102","India","Non-sentinel","2023-46",2023-11-13,45,12,33,NA,10,1,NA,1,NA,NA
"103","India","Non-sentinel","2023-47",2023-11-20,132,17,115,NA,9,1,NA,4,NA,3
"104","India","Non-sentinel","2023-48",2023-11-27,116,13,103,NA,5,1,NA,7,NA,NA
"105","India","Non-sentinel","2023-49",2023-12-04,162,30,132,NA,9,8,NA,2,NA,11
"106","India","Non-sentinel","2023-50",2023-12-11,149,19,130,NA,8,5,NA,6,NA,NA
"107","India","Non-sentinel","2023-51",2023-12-18,200,30,170,NA,14,6,NA,10,NA,NA
"108","India","Non-sentinel","2023-52",2023-12-25,200,19,181,NA,7,4,NA,NA,NA,8
"109","India","Non-sentinel","2024-01",2024-01-01,135,3,132,NA,2,NA,NA,1,NA,NA
"110","India","Non-sentinel","2024-02",2024-01-08,159,5,154,NA,2,NA,NA,NA,NA,3
"111","India","Non-sentinel","2024-03",2024-01-15,229,9,220,NA,5,1,NA,NA,NA,3
"112","India","Non-sentinel","2024-04",2024-01-22,33,3,30,NA,NA,NA,NA,NA,NA,3
"113","India","Non-sentinel","2024-05",2024-01-29,188,14,174,NA,13,NA,NA,NA,NA,1
"114","India","Non-sentinel","2024-06",2024-02-05,130,9,121,NA,7,NA,NA,NA,NA,2
"115","India","Non-sentinel","2024-07",2024-02-12,134,15,119,NA,12,2,NA,NA,NA,1
"116","India","Non-sentinel","2024-08",2024-02-19,128,15,113,NA,9,6,NA,NA,NA,NA
"117","India","Non-sentinel","2024-10",2024-03-04,126,19,107,NA,17,1,NA,1,NA,NA
"118","India","Non-sentinel","2024-11",2024-03-11,160,20,140,NA,18,2,NA,NA,NA,NA
"119","India","Non-sentinel","2024-12",2024-03-18,119,21,98,NA,21,NA,NA,NA,NA,NA
"120","India","Non-sentinel","2024-13",2024-03-25,103,17,86,NA,17,NA,NA,NA,NA,NA
"121","India","Non-sentinel","2024-14",2024-04-01,128,18,110,NA,18,NA,NA,NA,NA,NA
"122","India","Non-sentinel","2024-15",2024-04-08,67,6,61,NA,6,NA,NA,NA,NA,NA
"123","India","Non-sentinel","2024-16",2024-04-15,106,20,86,NA,16,3,NA,NA,NA,1
"124","India","Non-sentinel","2024-17",2024-04-22,144,21,123,NA,19,NA,NA,1,NA,1
"125","India","Non-sentinel","2024-18",2024-04-29,61,12,49,NA,12,NA,NA,NA,NA,NA
"126","India","Non-sentinel","2024-19",2024-05-06,74,13,61,NA,13,NA,NA,NA,NA,NA
"127","India","Non-sentinel","2024-20",2024-05-13,101,11,90,NA,11,NA,NA,NA,NA,NA
"128","India","Non-sentinel","2024-21",2024-05-20,88,12,76,NA,12,NA,NA,NA,NA,NA
"129","India","Non-sentinel","2024-22",2024-05-27,100,17,83,NA,15,NA,NA,2,NA,NA
"130","India","Non-sentinel","2024-23",2024-06-03,110,9,101,NA,9,NA,NA,NA,NA,NA
"131","India","Non-sentinel","2024-24",2024-06-10,50,5,45,NA,4,1,NA,NA,NA,NA
"132","India","Non-sentinel","2024-25",2024-06-17,64,5,59,NA,5,NA,NA,NA,NA,NA
"133","India","Non-sentinel","2024-26",2024-06-24,74,4,70,NA,4,NA,NA,NA,NA,NA
"134","India","Non-sentinel","2024-27",2024-07-01,172,41,131,NA,39,1,NA,NA,NA,1
"135","India","Non-sentinel","2024-28",2024-07-08,102,28,74,NA,27,1,NA,NA,NA,NA
"136","India","Non-sentinel","2024-29",2024-07-15,227,80,147,NA,77,2,NA,NA,NA,1
"137","India","Non-sentinel","2024-30",2024-07-22,332,77,255,NA,73,3,NA,NA,NA,1
"138","India","Non-sentinel","2024-31",2024-07-29,189,66,123,NA,60,6,NA,NA,NA,NA
"139","India","Non-sentinel","2024-32",2024-08-05,195,73,122,NA,67,5,NA,1,NA,NA
"140","India","Non-sentinel","2024-33",2024-08-12,200,60,140,NA,45,7,NA,8,NA,NA
"141","India","Non-sentinel","2024-34",2024-08-19,190,41,149,NA,36,4,NA,NA,NA,1
"142","India","Non-sentinel","2024-35",2024-08-26,103,17,86,NA,15,2,NA,NA,NA,NA
"143","India","Non-sentinel","2024-36",2024-09-02,49,8,41,NA,6,2,NA,NA,NA,NA
"144","India","Non-sentinel","2024-37",2024-09-09,66,13,53,NA,8,5,NA,NA,NA,NA
"145","India","Not defined","1998-31",1998-07-27,1,1,0,NA,NA,1,NA,NA,NA,NA
"146","India","Not defined","1999-38",1999-09-20,0,0,0,NA,NA,NA,0,NA,NA,0
"147","India","Not defined","1999-39",1999-09-27,0,0,0,NA,NA,NA,0,NA,NA,0
"148","India","Not defined","1999-40",1999-10-04,0,0,0,NA,NA,NA,0,NA,NA,0
"149","India","Not defined","1999-41",1999-10-11,0,0,0,NA,NA,NA,0,NA,NA,0
"150","India","Not defined","1999-42",1999-10-18,0,0,0,NA,NA,NA,0,NA,NA,0
"151","India","Not defined","1999-43",1999-10-25,0,0,0,NA,NA,NA,0,NA,NA,0
"152","India","Not defined","1999-44",1999-11-01,0,0,0,NA,NA,NA,0,NA,NA,0
"153","India","Not defined","1999-45",1999-11-08,0,0,0,NA,NA,NA,0,NA,NA,0
"154","India","Not defined","1999-46",1999-11-15,0,0,0,NA,NA,NA,0,NA,NA,0
"155","India","Not defined","1999-47",1999-11-22,0,0,0,0,NA,0,0,NA,NA,0
"156","India","Not defined","1999-48",1999-11-29,0,0,0,0,NA,0,0,NA,NA,0
"157","India","Not defined","1999-49",1999-12-06,0,0,0,0,NA,0,0,NA,NA,0
"158","India","Not defined","1999-50",1999-12-13,0,0,0,0,NA,0,0,NA,NA,0
"159","India","Not defined","1999-52",1999-12-27,2,0,2,0,NA,0,0,NA,NA,0
"160","India","Not defined","2000-02",2000-01-10,0,0,0,0,NA,0,0,NA,NA,0
"161","India","Not defined","2000-03",2000-01-17,7,0,7,0,NA,0,0,NA,NA,0
"162","India","Not defined","2000-04",2000-01-24,10,0,10,0,NA,0,0,NA,NA,0
"163","India","Not defined","2000-05",2000-01-31,9,0,9,0,NA,0,0,NA,NA,0
"164","India","Not defined","2000-06",2000-02-07,4,0,4,0,NA,0,0,NA,NA,0
"165","India","Not defined","2000-07",2000-02-14,6,0,6,0,NA,0,0,NA,NA,0
"166","India","Not defined","2000-08",2000-02-21,3,0,3,0,NA,0,0,NA,NA,0
"167","India","Not defined","2000-09",2000-02-28,2,0,2,0,NA,0,0,NA,NA,0
"168","India","Not defined","2000-10",2000-03-06,3,0,3,0,NA,0,0,NA,NA,0
"169","India","Not defined","2000-11",2000-03-13,0,0,0,0,NA,0,0,NA,NA,0
"170","India","Not defined","2000-12",2000-03-20,0,0,0,0,NA,0,0,NA,NA,0
"171","India","Not defined","2000-13",2000-03-27,0,0,0,0,NA,0,0,NA,NA,0
"172","India","Not defined","2000-14",2000-04-03,1,0,1,0,NA,0,0,NA,NA,0
"173","India","Not defined","2000-15",2000-04-10,1,0,1,0,NA,0,0,NA,NA,0
"174","India","Not defined","2000-16",2000-04-17,0,0,0,0,NA,0,0,NA,NA,0
"175","India","Not defined","2000-17",2000-04-24,0,0,0,0,NA,0,0,NA,NA,0
"176","India","Not defined","2000-18",2000-05-01,4,0,4,0,NA,0,0,NA,NA,0
"177","India","Not defined","2000-19",2000-05-08,3,0,3,0,NA,0,0,NA,NA,0
"178","India","Not defined","2000-20",2000-05-15,3,0,3,0,NA,0,0,NA,NA,0
"179","India","Not defined","2000-21",2000-05-22,5,0,5,0,NA,0,0,NA,NA,0
"180","India","Not defined","2000-22",2000-05-29,1,0,1,0,NA,0,0,NA,NA,0
"181","India","Not defined","2000-23",2000-06-05,10,2,8,0,NA,2,0,NA,NA,0
"182","India","Not defined","2000-24",2000-06-12,15,1,14,0,NA,1,0,NA,NA,0
"183","India","Not defined","2000-25",2000-06-19,32,2,30,0,NA,2,0,NA,NA,0
"184","India","Not defined","2000-26",2000-06-26,20,3,17,1,NA,2,0,NA,NA,0
"185","India","Not defined","2000-27",2000-07-03,21,2,19,0,NA,1,0,NA,NA,1
"186","India","Not defined","2000-28",2000-07-10,8,2,6,1,NA,0,1,NA,NA,0
"187","India","Not defined","2000-29",2000-07-17,17,2,15,0,NA,2,0,NA,NA,0
"188","India","Not defined","2000-30",2000-07-24,8,2,6,1,NA,1,0,NA,NA,0
"189","India","Not defined","2000-31",2000-07-31,6,0,6,0,NA,0,0,NA,NA,0
"190","India","Not defined","2000-32",2000-08-07,4,0,4,0,NA,0,0,NA,NA,0
"191","India","Not defined","2000-33",2000-08-14,14,0,14,0,NA,0,0,NA,NA,0
"192","India","Not defined","2000-34",2000-08-21,1,0,1,0,NA,0,0,NA,NA,0
"193","India","Not defined","2000-35",2000-08-28,5,0,5,0,NA,0,0,NA,NA,0
"194","India","Not defined","2000-36",2000-09-04,16,0,16,0,NA,0,0,NA,NA,0
"195","India","Not defined","2000-37",2000-09-11,0,0,0,0,NA,0,0,NA,NA,0
"196","India","Not defined","2000-38",2000-09-18,4,0,4,0,NA,0,0,NA,NA,0
"197","India","Not defined","2000-39",2000-09-25,0,0,0,0,NA,0,0,NA,NA,0
"198","India","Not defined","2000-40",2000-10-02,0,0,0,0,NA,0,0,NA,NA,0
"199","India","Not defined","2000-41",2000-10-09,2,0,2,0,NA,0,0,NA,NA,0
"200","India","Not defined","2000-42",2000-10-16,1,0,1,0,NA,0,0,NA,NA,0
"201","India","Not defined","2000-43",2000-10-23,6,0,6,0,NA,0,0,NA,NA,0
"202","India","Not defined","2000-44",2000-10-30,0,0,0,0,NA,0,0,NA,NA,0
"203","India","Not defined","2000-47",2000-11-20,9,1,8,NA,NA,NA,NA,NA,NA,1
"204","India","Not defined","2001-01",2001-01-01,11,1,10,NA,NA,NA,NA,NA,NA,1
"205","India","Not defined","2001-08",2001-02-19,4,0,4,NA,NA,NA,0,NA,NA,0
"206","India","Not defined","2001-12",2001-03-19,0,0,0,NA,NA,NA,0,NA,NA,0
"207","India","Not defined","2001-16",2001-04-16,0,0,0,NA,NA,NA,0,NA,NA,0
"208","India","Not defined","2001-47",2001-11-19,0,0,0,NA,NA,NA,0,NA,NA,0
"209","India","Not defined","2001-52",2001-12-24,0,0,0,0,NA,0,0,NA,NA,0
"210","India","Not defined","2002-01",2001-12-31,11,0,11,0,NA,0,0,NA,NA,0
"211","India","Not defined","2002-02",2002-01-07,0,0,0,0,NA,0,0,NA,NA,0
"212","India","Not defined","2002-03",2002-01-14,8,0,8,0,NA,0,0,NA,NA,0
"213","India","Not defined","2002-04",2002-01-21,18,1,17,0,NA,0,0,NA,NA,1
"214","India","Not defined","2002-05",2002-01-28,16,4,12,0,NA,0,0,NA,NA,4
"215","India","Not defined","2002-06",2002-02-04,17,1,16,0,NA,0,0,NA,NA,1
"216","India","Not defined","2002-07",2002-02-11,19,2,17,0,NA,0,0,NA,NA,2
"217","India","Not defined","2002-08",2002-02-18,4,2,2,0,NA,0,0,NA,NA,2
"218","India","Not defined","2002-09",2002-02-25,8,0,8,0,NA,0,0,NA,NA,0
"219","India","Not defined","2002-10",2002-03-04,8,0,8,0,NA,0,0,NA,NA,0
"220","India","Not defined","2002-11",2002-03-11,7,0,7,0,NA,0,0,NA,NA,0
"221","India","Not defined","2002-12",2002-03-18,1,0,1,0,NA,0,0,NA,NA,0
"222","India","Not defined","2002-13",2002-03-25,41,1,40,0,NA,0,0,NA,NA,1
"223","India","Not defined","2002-14",2002-04-01,1,0,1,0,NA,0,0,NA,NA,0
"224","India","Not defined","2002-15",2002-04-08,1,0,1,0,NA,0,0,NA,NA,0
"225","India","Not defined","2002-16",2002-04-15,0,0,0,0,NA,0,0,NA,NA,0
"226","India","Not defined","2002-17",2002-04-22,0,0,0,0,NA,0,0,NA,NA,0
"227","India","Not defined","2002-18",2002-04-29,0,0,0,0,NA,0,0,NA,NA,0
"228","India","Not defined","2002-19",2002-05-06,0,0,0,0,NA,0,0,NA,NA,0
"229","India","Not defined","2002-20",2002-05-13,0,0,0,0,NA,0,0,NA,NA,0
"230","India","Not defined","2002-21",2002-05-20,0,0,0,0,NA,0,0,NA,NA,0
"231","India","Not defined","2002-22",2002-05-27,2,0,2,0,NA,0,0,NA,NA,0
"232","India","Not defined","2002-23",2002-06-03,4,0,4,0,NA,0,0,NA,NA,0
"233","India","Not defined","2002-24",2002-06-10,4,0,4,0,NA,0,0,NA,NA,0
"234","India","Not defined","2002-25",2002-06-17,0,0,0,0,NA,0,0,NA,NA,0
"235","India","Not defined","2002-26",2002-06-24,3,0,3,0,NA,0,0,NA,NA,0
"236","India","Not defined","2002-27",2002-07-01,5,0,5,0,NA,0,0,NA,NA,0
"237","India","Not defined","2002-28",2002-07-08,13,0,13,0,NA,0,0,NA,NA,0
"238","India","Not defined","2002-29",2002-07-15,13,0,13,0,NA,0,0,NA,NA,0
"239","India","Not defined","2002-30",2002-07-22,25,3,22,0,NA,0,3,NA,NA,0
"240","India","Not defined","2002-31",2002-07-29,30,6,24,0,NA,0,3,NA,NA,3
"241","India","Not defined","2002-32",2002-08-05,58,4,54,0,NA,2,1,NA,NA,1
"242","India","Not defined","2002-33",2002-08-12,35,2,33,0,NA,1,1,NA,NA,0
"243","India","Not defined","2002-34",2002-08-19,19,2,17,0,NA,1,1,NA,NA,0
"244","India","Not defined","2002-35",2002-08-26,30,2,28,0,NA,0,1,NA,NA,1
"245","India","Not defined","2002-36",2002-09-02,12,0,12,0,NA,0,0,NA,NA,0
"246","India","Not defined","2002-37",2002-09-09,15,1,14,0,NA,1,0,NA,NA,0
"247","India","Not defined","2002-38",2002-09-16,3,0,3,0,NA,0,0,NA,NA,0
"248","India","Not defined","2002-39",2002-09-23,4,0,4,0,NA,0,0,NA,NA,0
"249","India","Not defined","2002-40",2002-09-30,4,0,4,0,NA,0,0,NA,NA,0
"250","India","Not defined","2002-41",2002-10-07,0,0,0,0,NA,0,0,NA,NA,0
"251","India","Not defined","2002-42",2002-10-14,4,0,4,0,NA,0,0,NA,NA,0
"252","India","Not defined","2002-43",2002-10-21,0,0,0,0,NA,0,0,NA,NA,0
"253","India","Not defined","2002-44",2002-10-28,1,0,1,0,NA,0,0,NA,NA,0
"254","India","Not defined","2002-45",2002-11-04,4,0,4,0,NA,0,0,NA,NA,0
"255","India","Not defined","2002-46",2002-11-11,3,0,3,0,NA,0,0,NA,NA,0
"256","India","Not defined","2002-47",2002-11-18,2,0,2,0,NA,0,0,NA,NA,0
"257","India","Not defined","2003-01",2002-12-30,2,1,1,NA,NA,1,NA,NA,NA,NA
"258","India","Not defined","2003-09",2003-02-24,15,2,13,NA,NA,2,NA,NA,NA,NA
"259","India","Not defined","2003-11",2003-03-10,6,0,6,0,NA,0,0,NA,NA,0
"260","India","Not defined","2003-12",2003-03-17,25,1,24,0,NA,1,0,NA,NA,0
"261","India","Not defined","2003-13",2003-03-24,22,3,19,NA,NA,3,NA,NA,NA,NA
"262","India","Not defined","2003-14",2003-03-31,8,1,7,NA,NA,1,NA,NA,NA,NA
"263","India","Not defined","2003-16",2003-04-14,17,1,16,NA,NA,1,NA,NA,NA,NA
"264","India","Not defined","2003-23",2003-06-02,5,0,5,0,NA,0,0,NA,NA,0
"265","India","Not defined","2003-24",2003-06-09,5,0,5,0,NA,0,0,NA,NA,0
"266","India","Not defined","2003-25",2003-06-16,7,0,7,0,NA,0,0,NA,NA,0
"267","India","Not defined","2003-26",2003-06-23,6,0,6,0,NA,0,0,NA,NA,0
"268","India","Not defined","2003-27",2003-06-30,22,0,22,0,NA,0,0,NA,NA,0
"269","India","Not defined","2003-28",2003-07-07,16,0,16,0,NA,0,0,NA,NA,0
"270","India","Not defined","2003-29",2003-07-14,25,3,22,0,NA,3,0,NA,NA,0
"271","India","Not defined","2003-30",2003-07-21,68,3,65,0,NA,1,0,NA,NA,2
"272","India","Not defined","2003-31",2003-07-28,47,3,44,0,NA,2,0,NA,NA,1
