"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1)","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"831","India","Not defined","2019-08",2019-02-18,2800,611,2189,NA,485,121,NA,2,3,0
"832","India","Not defined","2019-09",2019-02-25,2752,618,2134,NA,515,97,NA,4,2,0
"833","India","Not defined","2019-10",2019-03-04,2182,451,1731,NA,402,46,NA,3,NA,0
"834","India","Not defined","2019-11",2019-03-11,1993,435,1558,NA,375,55,NA,3,2,0
"835","India","Not defined","2019-12",2019-03-18,1218,225,993,NA,183,28,NA,7,1,6
"836","India","Not defined","2019-13",2019-03-25,1446,258,1188,NA,222,20,NA,8,6,2
"837","India","Not defined","2019-14",2019-04-01,1123,179,944,NA,144,17,NA,9,9,NA
"838","India","Not defined","2019-15",2019-04-08,921,162,759,NA,112,20,NA,2,28,0
"839","India","Not defined","2019-16",2019-04-15,641,91,550,NA,58,27,NA,2,4,0
"840","India","Not defined","2019-17",2019-04-22,743,101,642,NA,73,11,NA,8,9,NA
"841","India","Not defined","2019-18",2019-04-29,708,62,646,NA,40,7,NA,9,5,1
"842","India","Not defined","2019-19",2019-05-06,487,57,430,NA,41,10,NA,5,0,1
"843","India","Not defined","2019-20",2019-05-13,507,63,444,NA,45,10,NA,4,0,4
"844","India","Not defined","2019-21",2019-05-20,561,73,488,NA,55,8,NA,8,1,1
"845","India","Not defined","2019-22",2019-05-27,631,73,558,NA,56,12,NA,2,NA,3
"846","India","Not defined","2019-23",2019-06-03,312,52,260,NA,25,20,NA,4,NA,3
"847","India","Not defined","2019-24",2019-06-10,565,83,482,NA,42,32,NA,8,NA,1
"848","India","Not defined","2019-25",2019-06-17,516,87,429,NA,34,36,NA,7,NA,10
"849","India","Not defined","2019-26",2019-06-24,611,125,486,NA,41,65,NA,14,0,5
"850","India","Not defined","2019-27",2019-07-01,661,166,495,NA,59,79,NA,6,0,22
"851","India","Not defined","2019-28",2019-07-08,492,93,399,NA,30,44,0,7,0,12
"852","India","Not defined","2019-29",2019-07-15,819,215,604,NA,77,83,NA,21,0,34
"853","India","Not defined","2019-30",2019-07-22,710,177,533,NA,54,51,NA,13,11,48
"854","India","Not defined","2019-31",2019-07-29,737,133,604,NA,27,42,NA,22,1,41
"855","India","Not defined","2019-32",2019-08-05,777,176,601,NA,42,76,NA,18,0,40
"856","India","Not defined","2019-33",2019-08-12,644,132,512,NA,31,63,NA,20,0,18
"857","India","Not defined","2019-34",2019-08-19,880,219,661,NA,28,104,NA,39,2,46
"858","India","Not defined","2019-35",2019-08-26,815,169,646,NA,20,79,NA,29,NA,41
"859","India","Not defined","2019-36",2019-09-02,982,196,786,NA,28,100,NA,22,NA,46
"860","India","Not defined","2019-37",2019-09-09,580,98,482,NA,12,46,NA,16,0,24
"861","India","Not defined","2019-38",2019-09-16,908,166,742,NA,33,77,NA,33,0,23
"862","India","Not defined","2019-39",2019-09-23,995,140,855,NA,29,40,NA,51,0,20
"863","India","Not defined","2019-40",2019-09-30,563,61,502,NA,12,24,NA,3,0,22
"864","India","Not defined","2019-41",2019-10-07,633,55,578,NA,9,25,NA,6,0,15
"865","India","Not defined","2019-42",2019-10-14,672,43,629,NA,6,8,NA,14,0,15
"866","India","Not defined","2019-43",2019-10-21,701,41,660,NA,6,13,NA,11,0,11
"867","India","Not defined","2019-44",2019-10-28,467,32,435,NA,5,11,NA,7,0,9
"868","India","Not defined","2019-45",2019-11-04,591,31,560,NA,9,9,0,1,0,12
"869","India","Not defined","2019-46",2019-11-11,626,29,597,NA,11,14,NA,2,NA,2
"870","India","Not defined","2019-47",2019-11-18,726,35,691,NA,8,8,NA,3,NA,16
"871","India","Not defined","2019-48",2019-11-25,677,12,665,NA,6,4,NA,NA,NA,2
"872","India","Not defined","2019-49",2019-12-02,362,7,355,NA,1,2,NA,3,NA,1
"873","India","Not defined","2019-50",2019-12-09,491,9,482,NA,3,2,NA,NA,NA,4
"874","India","Not defined","2019-51",2019-12-16,313,8,305,NA,4,1,NA,NA,NA,3
"875","India","Not defined","2019-52",2019-12-23,526,14,512,NA,7,4,NA,1,NA,2
"876","India","Not defined","2020-01",2019-12-30,387,3,384,NA,2,1,NA,NA,NA,NA
"877","India","Not defined","2020-02",2020-01-06,337,12,325,NA,10,0,NA,NA,NA,2
"878","India","Not defined","2020-03",2020-01-13,239,12,227,NA,10,0,NA,0,0,2
"879","India","Not defined","2020-05",2020-01-27,305,14,291,NA,14,NA,NA,NA,NA,NA
"880","India","Not defined","2020-06",2020-02-03,340,20,320,NA,19,1,NA,NA,NA,NA
"881","India","Not defined","2020-07",2020-02-10,620,40,580,NA,31,9,NA,NA,NA,NA
"882","India","Not defined","2020-08",2020-02-17,693,143,550,NA,84,16,NA,43,NA,NA
"883","India","Not defined","2020-09",2020-02-24,816,219,597,NA,143,27,NA,49,NA,NA
"884","India","Not defined","2020-10",2020-03-02,488,113,375,NA,78,15,NA,NA,NA,20
"885","India","Not defined","2020-11",2020-03-09,400,29,371,NA,24,1,NA,1,NA,3
"886","India","Not defined","2020-12",2020-03-16,800,14,786,NA,11,1,NA,NA,NA,2
"887","India","Not defined","2020-13",2020-03-23,1254,14,1240,NA,8,1,NA,NA,NA,5
"888","India","Not defined","2020-14",2020-03-30,1235,5,1230,NA,5,NA,NA,NA,NA,NA
"889","India","Not defined","2020-15",2020-04-06,373,1,372,NA,1,NA,NA,NA,NA,NA
"890","India","Not defined","2020-25",2020-06-15,86,0,86,NA,0,NA,NA,NA,NA,NA
"891","India","Not defined","2020-41",2020-10-05,136,3,133,NA,NA,3,NA,NA,NA,NA
"892","India","Not defined","2020-42",2020-10-12,160,1,159,NA,NA,1,NA,NA,NA,NA
"893","India","Not defined","2020-43",2020-10-19,103,1,102,NA,NA,1,NA,NA,NA,NA
"894","India","Not defined","2020-44",2020-10-26,98,4,94,NA,NA,4,NA,NA,NA,NA
"895","India","Not defined","2020-45",2020-11-02,69,1,68,NA,NA,1,NA,NA,NA,NA
"896","India","Not defined","2020-47",2020-11-16,55,1,54,NA,NA,1,NA,NA,NA,NA
"897","India","Not defined","2020-50",2020-12-07,261,1,260,NA,NA,1,NA,NA,NA,NA
"898","India","Not defined","2020-51",2020-12-14,41,1,40,NA,NA,1,NA,NA,NA,NA
"899","India","Not defined","2020-52",2020-12-21,41,1,40,NA,NA,1,NA,NA,NA,NA
"900","India","Not defined","2020-53",2020-12-28,52,2,50,NA,1,1,NA,NA,NA,NA
"901","India","Not defined","2021-02",2021-01-11,3699,13,3686,NA,1,5,NA,4,NA,3
"902","India","Not defined","2021-03",2021-01-18,3534,5,3529,NA,NA,3,NA,2,NA,NA
"903","India","Not defined","2021-05",2021-02-01,2277,1,2276,NA,NA,NA,NA,NA,NA,1
"904","India","Not defined","2021-06",2021-02-08,2271,1,2270,NA,1,NA,NA,NA,NA,NA
"905","India","Not defined","2021-08",2021-02-22,893,20,873,NA,1,19,NA,NA,NA,NA
"906","India","Not defined","2021-09",2021-03-01,936,9,927,NA,1,8,NA,NA,NA,NA
"907","India","Not defined","2021-10",2021-03-08,999,8,991,NA,NA,8,NA,NA,NA,NA
"908","India","Not defined","2021-11",2021-03-15,958,14,944,NA,NA,14,NA,NA,NA,NA
"909","India","Not defined","2021-12",2021-03-22,898,6,892,NA,NA,6,NA,NA,NA,NA
"910","India","Not defined","2021-13",2021-03-29,1219,7,1212,NA,NA,7,NA,NA,NA,NA
"911","India","Not defined","2021-14",2021-04-05,1734,16,1718,NA,NA,16,NA,NA,NA,NA
"912","India","Not defined","2021-15",2021-04-12,1520,10,1510,NA,1,9,NA,NA,NA,NA
"913","India","Not defined","2021-16",2021-04-19,2246,5,2241,NA,NA,5,NA,NA,NA,NA
"914","India","Not defined","2021-17",2021-04-26,2080,6,2074,NA,NA,5,NA,1,NA,NA
"915","India","Not defined","2021-18",2021-05-03,2779,7,2772,NA,1,6,NA,NA,NA,NA
"916","India","Not defined","2021-19",2021-05-10,2791,2,2789,NA,NA,1,NA,1,NA,NA
"917","India","Not defined","2021-20",2021-05-17,2555,10,2545,NA,2,8,NA,NA,NA,NA
"918","India","Not defined","2021-21",2021-05-24,2416,7,2409,NA,NA,7,NA,NA,NA,NA
"919","India","Not defined","2021-22",2021-05-31,2377,6,2371,NA,1,4,NA,1,NA,NA
"920","India","Not defined","2021-23",2021-06-07,1787,3,1784,NA,1,2,NA,NA,NA,NA
"921","India","Not defined","2021-24",2021-06-14,1994,4,1990,NA,4,NA,NA,NA,NA,NA
"922","India","Not defined","2021-25",2021-06-21,1861,9,1852,NA,4,5,NA,NA,NA,NA
"923","India","Not defined","2021-26",2021-06-28,2011,33,1978,NA,8,25,NA,NA,NA,NA
"924","India","Not defined","2021-27",2021-07-05,2538,55,2483,NA,2,53,NA,NA,NA,NA
"925","India","Not defined","2021-28",2021-07-12,2522,92,2430,NA,8,84,NA,NA,NA,NA
"926","India","Not defined","2021-29",2021-07-19,5433,140,5293,NA,13,126,NA,NA,NA,1
"927","India","Not defined","2021-30",2021-07-26,2719,152,2567,NA,22,130,NA,NA,NA,NA
"928","India","Not defined","2021-31",2021-08-02,2714,230,2484,NA,10,215,NA,5,NA,NA
"929","India","Not defined","2021-32",2021-08-09,202,5,197,NA,NA,5,NA,NA,NA,NA
"930","India","Not defined","2021-33",2021-08-16,135,2,133,NA,NA,2,NA,NA,NA,NA
"931","India","Not defined","2021-34",2021-08-23,51,3,48,NA,NA,2,NA,1,NA,NA
"932","India","Not defined","2021-35",2021-08-30,16,3,13,NA,1,1,NA,1,NA,NA
"933","India","Not defined","2022-02",2022-01-10,502,7,495,NA,1,5,NA,1,NA,NA
"934","India","Not defined","2022-03",2022-01-17,489,5,484,NA,NA,3,NA,2,NA,NA
"935","India","Not defined","2022-04",2022-01-24,449,1,448,NA,NA,1,NA,NA,NA,NA
"936","India","Not defined","2022-05",2022-01-31,470,1,469,NA,NA,NA,NA,1,NA,NA
"937","India","Not defined","2022-06",2022-02-07,419,1,418,NA,1,NA,NA,NA,NA,NA
"938","India","Not defined","2022-08",2022-02-21,411,1,410,NA,NA,1,NA,NA,NA,NA
"939","India","Not defined","2022-10",2022-03-07,317,2,315,NA,2,NA,NA,NA,NA,NA
"940","India","Not defined","2022-11",2022-03-14,505,3,502,NA,NA,NA,NA,NA,NA,3
"941","India","Not defined","2022-13",2022-03-28,476,2,474,NA,2,NA,NA,NA,NA,NA
"942","India","Not defined","2022-14",2022-04-04,498,2,496,NA,NA,2,NA,NA,NA,NA
"943","India","Not defined","2022-15",2022-04-11,550,4,546,NA,1,2,NA,1,NA,NA
"944","India","Not defined","2022-16",2022-04-18,379,5,374,NA,4,1,NA,NA,NA,NA
"945","India","Not defined","2022-18",2022-05-02,487,9,478,NA,6,3,NA,NA,NA,NA
"946","India","Not defined","2022-19",2022-05-09,469,15,454,NA,6,9,NA,NA,NA,NA
"947","India","Not defined","2022-20",2022-05-16,479,14,463,NA,9,5,NA,NA,NA,NA
"948","India","Not defined","2022-21",2022-05-23,516,8,508,NA,7,1,NA,NA,NA,NA
"949","India","Not defined","2022-22",2022-05-30,489,22,467,NA,11,11,NA,NA,NA,NA
"950","India","Not defined","2022-23",2022-06-06,463,13,450,NA,12,1,NA,NA,NA,NA
"951","India","Not defined","2022-24",2022-06-13,269,8,261,NA,8,NA,NA,NA,NA,NA
"952","India","Not defined","2022-25",2022-06-20,352,8,344,NA,NA,8,NA,NA,NA,NA
"953","India","Not defined","2022-26",2022-06-27,319,2,317,NA,1,1,NA,NA,NA,NA
"954","India","Not defined","2022-27",2022-07-04,456,5,451,NA,3,2,NA,NA,NA,NA
"955","India","Not defined","2022-28",2022-07-11,385,10,375,NA,6,4,NA,NA,NA,NA
"956","India","Not defined","2022-30",2022-07-25,304,14,290,NA,14,NA,NA,NA,NA,NA
"957","India","Not defined","2022-31",2022-08-01,354,27,327,NA,25,2,NA,NA,NA,NA
"958","India","Not defined","2022-32",2022-08-08,306,14,292,NA,13,1,NA,NA,NA,NA
"959","India","Not defined","2022-33",2022-08-15,242,26,216,NA,22,2,NA,NA,NA,2
"960","India","Not defined","2022-34",2022-08-22,298,36,262,NA,25,11,NA,NA,NA,NA
"961","India","Not defined","2022-35",2022-08-29,432,56,376,NA,43,3,NA,2,NA,8
"962","India","Sentinel","2021-32",2021-08-09,41,13,28,NA,1,12,NA,NA,NA,0
"963","India","Sentinel","2021-33",2021-08-16,34,6,28,NA,NA,6,NA,NA,NA,0
"964","India","Sentinel","2021-34",2021-08-23,50,17,33,NA,6,8,NA,1,NA,2
"965","India","Sentinel","2021-35",2021-08-30,67,21,46,NA,1,17,NA,1,NA,2
"966","India","Sentinel","2021-36",2021-09-06,93,16,77,NA,1,10,NA,4,NA,1
"967","India","Sentinel","2021-37",2021-09-13,131,25,106,NA,1,16,NA,8,NA,0
"968","India","Sentinel","2021-38",2021-09-20,100,18,82,NA,NA,7,NA,9,NA,2
"969","India","Sentinel","2021-39",2021-09-27,141,34,107,NA,NA,9,NA,23,NA,2
"970","India","Sentinel","2021-40",2021-10-04,99,29,70,NA,NA,2,NA,26,NA,1
"971","India","Sentinel","2021-41",2021-10-11,763,97,666,NA,1,18,NA,62,3,13
"972","India","Sentinel","2021-42",2021-10-18,588,57,531,NA,1,21,NA,32,NA,3
"973","India","Sentinel","2021-43",2021-10-25,587,44,543,NA,3,14,NA,22,NA,5
"974","India","Sentinel","2021-44",2021-11-01,575,57,518,NA,2,23,NA,25,NA,7
"975","India","Sentinel","2021-45",2021-11-08,419,30,389,NA,1,13,NA,13,NA,3
"976","India","Sentinel","2021-46",2021-11-15,454,24,430,NA,1,8,NA,11,NA,4
"977","India","Sentinel","2021-47",2021-11-22,275,14,261,NA,NA,6,NA,7,NA,1
"978","India","Sentinel","2021-48",2021-11-29,27,2,25,NA,NA,NA,NA,2,NA,0
"979","India","Sentinel","2021-49",2021-12-06,26,1,25,NA,NA,NA,NA,1,NA,0
"980","India","Sentinel","2021-50",2021-12-13,495,13,482,NA,1,3,NA,9,NA,0
"981","India","Sentinel","2021-51",2021-12-20,444,16,428,NA,2,8,NA,4,NA,2
"982","India","Sentinel","2021-52",2021-12-27,394,9,385,NA,1,2,NA,6,NA,0
"983","India","Sentinel","2022-02",2022-01-10,49,3,46,NA,NA,NA,NA,NA,NA,3
"984","India","Sentinel","2022-17",2022-04-25,28,1,27,NA,1,NA,NA,NA,NA,NA
"985","India","Sentinel","2022-18",2022-05-02,42,1,41,NA,1,NA,NA,NA,NA,NA
"986","India","Sentinel","2022-20",2022-05-16,42,1,41,NA,NA,1,NA,NA,NA,NA
"987","India","Sentinel","2022-21",2022-05-23,29,3,26,NA,3,NA,NA,NA,NA,NA
"988","India","Sentinel","2022-23",2022-06-06,37,2,35,NA,2,NA,NA,NA,NA,NA
"989","India","Sentinel","2022-24",2022-06-13,30,3,27,NA,3,NA,NA,NA,NA,NA
"990","India","Sentinel","2022-26",2022-06-27,34,2,32,NA,2,NA,NA,NA,NA,NA
"991","India","Sentinel","2022-27",2022-07-04,44,6,38,NA,5,1,NA,NA,NA,NA
"992","India","Sentinel","2022-28",2022-07-11,61,5,56,NA,5,NA,NA,NA,NA,NA
"993","India","Sentinel","2022-29",2022-07-18,84,17,67,NA,17,NA,NA,NA,NA,NA
"994","India","Sentinel","2022-30",2022-07-25,100,39,61,NA,37,2,NA,NA,NA,NA
"995","India","Sentinel","2022-31",2022-08-01,211,89,122,NA,88,1,NA,NA,NA,NA
"996","India","Sentinel","2022-32",2022-08-08,261,105,156,NA,104,1,NA,NA,NA,NA
"997","India","Sentinel","2022-33",2022-08-15,185,61,124,NA,60,1,NA,NA,NA,NA
"998","India","Sentinel","2022-34",2022-08-22,177,59,118,NA,57,2,NA,NA,NA,NA
"999","India","Sentinel","2022-35",2022-08-29,223,55,168,NA,52,3,NA,NA,NA,NA
"1000","India","Sentinel","2022-36",2022-09-05,620,105,515,NA,81,16,NA,NA,NA,8
"1001","India","Sentinel","2022-37",2022-09-12,350,33,317,NA,30,3,NA,NA,NA,NA
"1002","India","Sentinel","2022-38",2022-09-19,575,58,517,NA,52,6,NA,NA,NA,NA
"1003","India","Sentinel","2022-39",2022-09-26,410,36,374,NA,23,10,NA,NA,NA,3
"1004","India","Sentinel","2022-40",2022-10-03,324,25,299,NA,13,11,NA,1,NA,NA
"1005","India","Sentinel","2022-41",2022-10-10,342,14,328,NA,9,4,NA,1,NA,NA
"1006","India","Sentinel","2022-42",2022-10-17,371,11,360,NA,3,7,NA,1,NA,NA
"1007","India","Sentinel","2022-43",2022-10-24,391,25,366,NA,11,10,NA,4,NA,NA
"1008","India","Sentinel","2022-44",2022-10-31,200,9,191,NA,1,4,NA,2,NA,2
"1009","India","Sentinel","2022-45",2022-11-07,70,3,67,NA,NA,2,NA,1,NA,NA
"1010","India","Sentinel","2022-46",2022-11-14,283,7,276,NA,2,NA,NA,5,NA,NA
"1011","India","Sentinel","2022-47",2022-11-21,385,17,368,NA,13,3,NA,1,NA,NA
"1012","India","Sentinel","2022-48",2022-11-28,245,10,235,NA,5,4,NA,1,NA,NA
"1013","India","Sentinel","2022-49",2022-12-05,361,16,345,NA,4,6,NA,6,NA,NA
"1014","India","Sentinel","2022-50",2022-12-12,253,14,239,NA,6,6,NA,2,NA,NA
"1015","India","Sentinel","2022-51",2022-12-19,318,17,301,NA,4,11,NA,1,NA,1
"1016","India","Sentinel","2022-52",2022-12-26,327,14,313,NA,5,9,NA,NA,NA,NA
"1017","India","Sentinel","2023-01",2023-01-02,414,25,389,NA,2,21,NA,1,NA,1
"1018","India","Sentinel","2023-02",2023-01-09,481,25,456,NA,3,15,NA,6,NA,1
"1019","India","Sentinel","2023-03",2023-01-16,479,37,442,NA,3,27,NA,4,NA,3
"1020","India","Sentinel","2023-04",2023-01-23,443,45,398,NA,9,25,NA,4,NA,7
"1021","India","Sentinel","2023-05",2023-01-30,509,50,459,NA,4,38,NA,3,NA,5
"1022","India","Sentinel","2023-06",2023-02-06,409,68,341,NA,4,57,NA,4,NA,3
"1023","India","Sentinel","2023-07",2023-02-13,399,46,353,NA,0,37,NA,3,NA,6
"1024","India","Sentinel","2023-08",2023-02-20,474,64,410,NA,1,50,NA,6,NA,7
"1025","India","Sentinel","2023-09",2023-02-27,590,90,500,NA,5,64,NA,17,NA,4
"1026","India","Sentinel","2023-10",2023-03-06,529,85,444,NA,2,57,NA,15,NA,11
"1027","India","Sentinel","2023-11",2023-03-13,639,82,557,NA,1,50,NA,20,NA,11
"1028","India","Sentinel","2023-12",2023-03-20,569,45,524,NA,8,15,NA,23,NA,-1
"1029","India","Sentinel","2023-13",2023-03-27,559,51,508,NA,5,14,NA,22,NA,10
"1030","India","Sentinel","2023-14",2023-04-03,547,43,504,NA,6,16,NA,11,NA,10
"1031","India","Sentinel","2023-15",2023-04-10,749,43,706,NA,7,12,NA,23,NA,1
"1032","India","Sentinel","2023-16",2023-04-17,804,41,763,NA,12,6,1,9,NA,13
"1033","India","Sentinel","2023-17",2023-04-24,719,24,695,NA,8,5,NA,11,NA,NA
"1034","India","Sentinel","2023-18",2023-05-01,741,21,720,NA,5,4,NA,12,NA,NA
"1035","India","Sentinel","2023-19",2023-05-08,698,6,692,NA,2,2,NA,1,NA,1
"1036","India","Sentinel","2023-20",2023-05-15,707,31,676,NA,7,8,NA,14,NA,2
"1037","India","Sentinel","2023-21",2023-05-22,615,14,601,NA,3,1,NA,6,NA,4
"1038","India","Sentinel","2023-22",2023-05-29,662,23,639,NA,11,6,NA,5,NA,1
"1039","India","Sentinel","2023-23",2023-06-05,599,36,563,NA,15,6,NA,5,NA,10
"1040","India","Sentinel","2023-24",2023-06-12,584,23,561,NA,NA,5,NA,12,NA,6
"1041","India","Sentinel","2023-25",2023-06-19,520,12,508,NA,NA,2,NA,9,NA,1
"1042","India","Sentinel","2023-26",2023-06-26,550,13,537,NA,2,8,NA,3,NA,NA
"1043","India","Sentinel","2023-27",2023-07-03,639,33,606,NA,8,6,NA,12,NA,7
"1044","India","Sentinel","2023-28",2023-07-10,573,20,553,NA,3,11,NA,5,NA,1
"1045","India","Sentinel","2023-29",2023-07-17,636,38,598,NA,5,16,NA,14,NA,3
"1046","India","Sentinel","2023-30",2023-07-24,642,36,606,NA,4,24,NA,7,NA,1
"1047","India","Sentinel","2023-31",2023-07-31,601,40,561,NA,5,21,NA,14,NA,NA
"1048","India","Sentinel","2023-32",2023-08-07,714,75,639,NA,9,36,NA,30,NA,NA
"1049","India","Sentinel","2023-33",2023-08-14,714,64,650,NA,5,34,NA,23,NA,2
"1050","India","Sentinel","2023-34",2023-08-21,741,92,649,NA,20,42,NA,30,NA,NA
"1051","India","Sentinel","2023-35",2023-08-28,650,74,576,NA,7,41,NA,26,NA,NA
"1052","India","Sentinel","2023-36",2023-09-04,200,29,171,NA,1,8,NA,20,NA,NA
"1053","India","Sentinel","2023-38",2023-09-18,602,50,552,NA,11,19,NA,20,NA,NA
"1054","India","Sentinel","2023-39",2023-09-25,365,27,338,NA,8,5,NA,14,NA,NA
"1055","India","Sentinel","2023-40",2023-10-02,530,49,481,NA,18,16,NA,13,NA,2
"1056","India","Sentinel","2023-41",2023-10-09,685,83,602,NA,36,17,NA,25,NA,5
"1057","India","Sentinel","2023-42",2023-10-16,606,78,528,NA,34,20,NA,19,NA,5
"1058","India","Sentinel","2023-43",2023-10-23,518,53,465,NA,28,11,NA,12,NA,2
"1059","India","Sentinel","2023-44",2023-10-30,158,26,132,NA,10,7,NA,7,NA,2
"1060","India","Sentinel","2023-45",2023-11-06,74,8,66,NA,4,NA,NA,4,NA,NA
"1061","India","Sentinel","2023-46",2023-11-13,118,9,109,NA,3,3,NA,3,NA,NA
"1062","India","Sentinel","2023-47",2023-11-20,111,2,109,NA,1,NA,NA,1,NA,NA
"1063","India","Sentinel","2023-48",2023-11-27,128,11,117,NA,2,NA,NA,9,NA,NA
"1064","India","Sentinel","2023-49",2023-12-04,162,11,151,NA,8,NA,NA,3,NA,NA
"1065","India","Sentinel","2023-50",2023-12-11,125,8,117,NA,1,3,NA,4,NA,NA
"1066","India","Sentinel","2023-51",2023-12-18,178,9,169,NA,3,NA,NA,6,NA,NA
"1067","India","Sentinel","2023-52",2023-12-25,155,13,142,NA,3,1,NA,9,NA,NA
"1068","India","Sentinel","2024-02",2024-01-08,586,29,557,NA,11,5,NA,13,NA,NA
"1069","India","Sentinel","2024-03",2024-01-15,566,29,537,NA,12,1,NA,16,NA,NA
"1070","India","Sentinel","2024-04",2024-01-22,684,33,651,NA,15,1,NA,14,NA,3
"1071","India","Sentinel","2024-05",2024-01-29,920,25,895,NA,11,2,NA,12,NA,NA
"1072","India","Sentinel","2024-06",2024-02-05,485,21,464,NA,6,1,NA,14,NA,NA
"1073","India","Sentinel","2024-07",2024-02-12,535,34,501,NA,11,NA,NA,21,NA,2
"1074","India","Sentinel","2024-08",2024-02-19,621,42,579,NA,25,1,NA,14,NA,2
"1075","India","Sentinel","2024-09",2024-02-26,514,27,487,NA,18,NA,NA,9,NA,NA
"1076","India","Sentinel","2024-10",2024-03-04,693,37,656,NA,32,NA,NA,4,NA,1
"1077","India","Sentinel","2024-11",2024-03-11,748,30,718,NA,22,NA,NA,8,NA,NA
"1078","India","Sentinel","2024-12",2024-03-18,703,29,674,NA,16,4,NA,9,NA,NA
"1079","India","Sentinel","2024-13",2024-03-25,643,23,620,NA,18,NA,NA,5,NA,NA
"1080","India","Sentinel","2024-14",2024-04-01,662,10,652,NA,6,1,NA,3,NA,NA
"1081","India","Sentinel","2024-15",2024-04-08,604,23,581,NA,16,NA,NA,7,NA,NA
"1082","India","Sentinel","2024-16",2024-04-15,656,14,642,NA,9,1,NA,4,NA,NA
"1083","India","Sentinel","2024-17",2024-04-22,642,12,630,NA,11,NA,NA,1,NA,NA
"1084","India","Sentinel","2024-18",2024-04-29,721,7,714,NA,4,NA,NA,NA,NA,3
"1085","India","Sentinel","2024-19",2024-05-06,703,17,686,NA,10,1,NA,6,NA,NA
"1086","India","Sentinel","2024-20",2024-05-13,648,21,627,NA,20,NA,NA,1,NA,NA
"1087","India","Sentinel","2024-21",2024-05-20,609,18,591,NA,16,1,NA,NA,NA,1
"1088","India","Sentinel","2024-22",2024-05-27,576,7,569,NA,5,NA,NA,2,NA,NA
"1089","India","Sentinel","2024-23",2024-06-03,625,20,605,NA,17,NA,NA,3,NA,NA
"1090","India","Sentinel","2024-24",2024-06-10,427,13,414,NA,12,NA,NA,1,NA,NA
"1091","India","Sentinel","2024-25",2024-06-17,387,14,373,NA,13,NA,NA,1,NA,NA
"1092","India","Sentinel","2024-26",2024-06-24,442,15,427,NA,13,NA,NA,2,NA,NA
"1093","India","Sentinel","2024-27",2024-07-01,254,9,245,NA,4,NA,NA,5,NA,NA
"1094","India","Sentinel","2024-28",2024-07-08,205,18,187,NA,12,1,NA,4,NA,1
"1095","India","Sentinel","2024-29",2024-07-15,335,34,301,NA,21,7,NA,6,NA,NA
"1096","India","Sentinel","2024-30",2024-07-22,347,29,318,NA,25,1,NA,3,NA,NA
"1097","India","Sentinel","2024-31",2024-07-29,223,15,208,NA,13,1,NA,1,NA,NA
"1098","India","Sentinel","2024-32",2024-08-05,249,36,213,NA,32,3,NA,1,NA,NA
"1099","India","Sentinel","2024-33",2024-08-12,228,38,190,NA,32,4,NA,2,NA,NA
"1100","India","Sentinel","2024-34",2024-08-19,274,58,216,NA,42,9,NA,7,NA,NA
"1101","India","Sentinel","2024-35",2024-08-26,264,50,214,NA,44,5,NA,1,NA,NA
"1102","India","Sentinel","2024-36",2024-09-02,195,33,162,NA,22,7,NA,3,NA,1
"1103","India","Sentinel","2024-37",2024-09-09,157,12,145,NA,6,5,NA,1,NA,NA
